"OBJECTI","REGION","DISTRIC","csts_mn","csts_qn","wlth_mn","U5M","U5M_qnt","pp_p_HC","HCC_qn0","BU_cvrg","BU_qunt","imprv_h","dpt_cvr","LF","LF_qntl","wlth_q_","Hsng_q_","DPT_qn_","Ttl_EN","Ttl_IN","Ttl_LAC","Ttl_ND","Ttl_PCO","Ttl_SUM"
1,"GREATER ACCRA","ADENTA MUNICIPAL",0.04,1,3.75862068965517,0.084,1,3546.79842857143,1,0.213,2,0.237,0.939,0.103987345895307,3,1,2,1,5,3,2,2,2,14
16,"AHAFO","TANO SOUTH MUNICIPAL",1.305,4,2.64705882352941,0.097,3,9878.72085714286,3,0.071,1,0.148,0.929,0.079417894486392,3,5,3,2,4,8,6,6,6,30
19,"BONO","SUNYANI MUNICIPAL",0.944,3,3.29452054794521,0.091,2,3450.65865625,1,0.272,3,0.157,0.902,0.094919934326483,3,3,3,3,6,6,6,2,4,24
24,"GREATER ACCRA","SHAI OSUDOKU",0.43,2,4.31034482758621,0.103,4,7189.6055,2,0.379,3,0.078,0.86,0.051489759260454,2,1,5,5,5,6,7,4,8,30
29,"GREATER ACCRA","NINGO/PRAMPRAM",0.286,2,3.58620689655172,0.106,5,4217.45377272727,1,0.089,1,0.129,0.872,0.058242383633593,2,2,4,5,3,6,7,2,10,28
31,"GREATER ACCRA","LA DADE-KOTOPON",0.014,1,3.74829931972789,0.079,1,11789.901,4,0.001,1,0.288,0.933,0.12623910021943,4,2,1,2,5,3,3,8,2,21
33,"WESTERN NORTH","AOWIN",2.48,5,2.79661016949153,0.1,4,4404.6592962963,1,0.001,1,0.072,0.759,0.07828712643999,3,4,5,5,4,9,10,2,8,33
34,"BONO","DORMAA EAST",1.109,4,1.87272727272727,0.091,2,12579.023,4,0.022,1,0.108,0.857,0.08755636699613,3,5,5,5,4,10,9,8,4,35
37,"WESTERN NORTH","BIA EAST",1.751,5,2.72413793103448,0.091,2,8937.431,3,0.043,1,0.075,0.876,0.077218161565436,3,5,5,4,4,10,9,6,4,33
39,"WESTERN NORTH","BIA WEST",1.504,5,2.75862068965517,0.094,2,7172.5713,2,0.151,2,0.083,0.89,0.06989928547275,2,4,5,4,4,9,9,4,4,30
41,"AHAFO","ASUNAFO NORTH MUNICIPAL",1.05,3,3.21333333333333,0.09,1,5212.43655555556,1,0.597,4,0.095,0.853,0.070547267965968,2,4,5,5,6,9,8,2,2,27
42,"WESTERN NORTH","BODI",1.503,5,3.13793103448276,0.094,2,4594.9717,1,0.125,2,0.103,0.889,0.062158633928429,2,4,5,4,4,9,9,2,4,28
43,"WESTERN NORTH","JUABOSO",1.578,5,2.32142857142857,0.094,2,5584.08776923077,1,0.059,1,0.095,0.883,0.063231020582717,2,5,5,4,3,10,9,2,4,28
46,"WESTERN","SHAMA",0.686,2,2.51111111111111,0.105,4,39350.573,5,0.993,5,0.243,0.915,0.174713555021562,5,5,2,3,10,7,5,10,8,40
47,"AHAFO","TANO NORTH MUNICIPAL",1.22,4,3.13636363636364,0.095,3,18663.0301666667,5,0.433,3,0.129,0.911,0.086925378822266,3,4,4,3,6,8,7,10,6,37
48,"WESTERN","WASSA EAST",1.677,5,3,0.11,5,7071.27090909091,2,0.114,2,0.118,0.863,0.145103924333889,4,4,4,5,6,8,10,4,10,38
50,"WESTERN","MPOHOR",0.976,3,3.41666666666667,0.11,5,7689.4448,2,0.271,3,0.107,0.835,0.238388803586034,5,3,5,5,8,8,8,4,10,38
53,"WESTERN","WASSA AMENFI CENTRAL",1.636,5,2.5,0.101,4,7816.25018181818,2,0.009,1,0.08,0.722,0.074338291581855,2,5,5,5,3,10,10,4,8,35
56,"CENTRAL","MFANTSEMAN MUNICIPAL",0.54,2,3.02808988764045,0.109,5,9214.1181875,3,0.929,5,0.259,0.946,0.2770292846246,5,4,1,1,10,5,3,6,10,34
58,"CENTRAL","EKUMFI",0.62,2,2.72881355932203,0.114,5,13283.2951428571,4,0.998,5,0.182,0.935,0.355038949266912,5,4,3,1,10,7,3,8,10,38
59,"CENTRAL","TWIFO HEMANG LOWER DENKYIRA",1.17,4,3.3,0.108,5,9023.3032,3,0.053,1,0.126,0.917,0.151895302515735,4,3,4,3,5,7,7,6,10,35
63,"CENTRAL","AWUTU SENYA",0.231,2,3.375,0.106,5,10793.0401,3,0.899,4,0.227,0.917,0.247750323497769,5,3,2,3,9,5,5,6,10,35
65,"CENTRAL","AWUTU SENYA EAST",0.17,1,3.21052631578947,0.106,5,17294.234,4,1,5,0.224,0.917,0.267533002297084,5,4,2,3,10,6,4,8,10,38
67,"GREATER ACCRA","LA-NKWANTANANG-MADINA",0.037,1,4.03389830508475,0.086,1,2362.15386666667,1,0.778,4,0.256,0.939,0.104027557544983,3,1,1,1,7,2,2,2,2,15
69,"ASHANTI","SEKYERE SOUTH",0.999,3,2.63333333333333,0.095,3,15713.4465833333,4,0.763,4,0.196,0.931,0.037865991690325,1,5,2,2,5,7,5,8,6,31
70,"GREATER ACCRA","GA EAST",0.037,1,4.23423423423424,0.088,1,3478.24187301587,1,0.916,5,0.293,0.935,0.112720694204774,3,1,1,1,8,2,2,2,2,16
71,"GREATER ACCRA","AYAWASO WEST",0.023,1,3.79220779220779,0.075,1,6478.67249056604,1,0.09,2,0.295,0.941,0.120754499946322,4,1,1,1,6,2,2,2,2,14
73,"GREATER ACCRA","GA SOUTH MUNICIPAL",0.231,2,3.3448275862069,0.101,4,39163.2585,5,1,5,0.177,0.927,0.171225347183645,4,3,3,2,9,6,4,10,8,37
74,"GREATER ACCRA","GA WEST MUNICIPAL",0.131,1,3.4,0.095,3,18108.4872222222,5,1,5,0.221,0.933,0.156163547752482,4,3,2,2,9,5,3,10,6,33
75,"ASHANTI","SEKYERE CENTRAL",0.822,3,1.66666666666667,0.101,4,7401.0074,2,0.053,1,0.066,0.934,0.036633122403116,1,5,5,2,2,10,5,4,8,29
76,"GREATER ACCRA","GA CENTRAL MUNICIPAL",0.256,2,4.02857142857143,0.087,1,29954.24575,5,1,5,0.232,0.941,0.139474831652223,4,1,2,1,9,3,3,10,2,27
79,"ASHANTI","OFFINSO MUNICIPAL",1.55,5,3.38333333333333,0.098,3,12586.5933333333,4,0.339,3,0.161,0.93,0.053556541161555,2,3,3,2,5,6,7,8,6,32
80,"ASHANTI","OBUASI MUNICIPAL",0.38,2,3.36134453781513,0.085,1,27824.69,5,0.995,5,0.27,0.89,0.033434991639085,1,3,1,4,6,4,6,10,2,28
